BlastID	VF_ID	VF_code	VFC_code	VF_category	Species
>VFG037176(gb|WP_001081735)	plc1	VF0470	VFC0235	Exotoxin	Acinetobacter baumannii ACICU
>VFG037177(gb|WP_000632986)	plc2	VF0470	VFC0235	Exotoxin	Acinetobacter baumannii ACICU
>VFG037203(gb|WP_000079188)	plcD	VF0469	VFC0235	Exotoxin	Acinetobacter baumannii ACICU
>VFG037218(gb|WP_000983821)	basJ	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037232(gb|WP_001093095)	basI	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037246(gb|WP_001032906)	basH	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037260(gb|WP_001095752)	barB	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037274(gb|WP_001281538)	barA	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037288(gb|WP_000603876)	basG	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037302(gb|WP_001018264)	basF	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037316(gb|WP_000744381)	entE	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037330(gb|WP_001177743)	basD	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037344(gb|WP_000717759)	basC	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037358(gb|WP_001073030)	bauA	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037372(gb|WP_001104139)	bauB	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037386(gb|WP_000582115)	bauE	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037400(gb|WP_001223274)	bauC	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037414(gb|WP_012391956)	bauD	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037428(gb|WP_000939834)	basB	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037442(gb|WP_000910253)	basA	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037456(gb|WP_000160878)	bauF	VF0467	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
